W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,1,W,W,P,W,P,W,W,P,W,P,W,W,4,T
T,W,T,W,T,W,T,W,W,T,W,T,W,T,W,T
T,P,W,W,P,P,P,W,W,P,P,P,W,W,P,T
T,W,T,W,T,W,T,W,W,T,W,T,W,T,W,T
T,P,W,W,W,W,W,W,W,W,W,W,W,W,P,T
T,W,T,P,T,W,T,W,W,T,W,T,P,T,W,T
T,P,W,P,W,W,W,P,P,W,W,W,P,W,P,T
T,P,W,P,W,W,W,P,P,W,W,W,P,W,P,T
T,W,T,P,T,W,T,W,W,T,W,T,P,T,W,T
T,P,W,W,W,W,W,W,W,W,W,W,W,W,P,T
T,W,T,W,T,W,T,W,W,T,W,T,W,T,W,T
T,P,W,W,P,P,P,W,W,P,P,P,W,W,P,T
T,W,T,W,T,W,T,W,W,T,W,T,W,T,W,T
T,3,W,W,P,W,P,W,W,P,W,P,W,W,2,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
