W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,H,W,W,W,S,W,W,W,W,S,W,W,W,H,H
H,W,S,W,W,S,W,W,W,W,S,W,W,S,W,H
H,W,W,H,S,H,S,H,H,S,H,S,H,W,W,H
H,W,W,S,H,W,W,W,W,W,W,H,S,W,W,H
H,S,S,H,W,S,W,W,W,W,S,W,H,S,S,H
H,W,W,S,W,W,H,W,W,H,W,W,S,W,W,H
H,W,W,H,W,W,W,S,S,W,W,W,H,W,W,H
H,W,W,H,W,W,W,S,S,W,W,W,H,W,W,H
H,W,W,S,W,W,H,W,W,H,W,W,S,W,W,H
H,S,S,H,W,S,W,W,W,W,S,W,H,S,S,H
H,W,W,S,H,W,W,W,W,W,W,H,S,W,W,H
H,W,W,H,S,H,S,H,H,S,H,S,H,W,W,H
H,W,S,W,W,S,W,W,W,W,S,W,W,S,W,H
H,H,W,W,W,S,W,W,W,W,S,W,W,W,H,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
