W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,2,W,W,S,W,W,S,S,W,W,S,W,W,3,H
H,W,S,H,S,H,S,H,H,S,H,S,H,S,W,H
H,W,H,W,W,W,W,W,W,W,W,W,W,H,W,H
H,S,S,W,S,H,S,H,H,S,H,S,W,S,S,H
H,W,H,W,H,W,W,W,W,W,W,H,W,H,W,H
H,W,S,W,S,W,S,S,S,S,W,S,W,S,W,H
H,S,H,W,H,W,S,W,W,S,W,H,W,H,S,H
H,S,H,W,H,W,S,W,W,S,W,H,W,H,S,H
H,W,S,W,S,W,S,S,S,S,W,S,W,S,W,H
H,W,H,W,H,W,W,W,W,W,W,H,W,H,W,H
H,S,S,W,S,H,S,H,H,S,H,S,W,S,S,H
H,W,H,W,W,W,W,W,W,W,W,W,W,H,W,H
H,W,S,H,S,H,S,H,H,S,H,S,H,S,W,H
H,1,W,W,S,W,W,S,S,W,W,S,W,W,4,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
